id,Name,Status,Location,Age,Sex,Breed,Dog,Cat,Children,Can live with older children,Microchipped,Neutered,Alone,Src
2817,Tuesday,available,Berkshire,9 years 0 months,Female,Spaniel Cross,1,0,1,0,0,0,1,4798_450x400.jpg
2796,Poppy,available,Hertfordshire,2 years 4 months,Female,Whippet Cross,0,0,1,0,0,0,1,3851_450x400.jpg
2795,Shamus,available,Cornwall,5 years 4 months,Male,Terrier Cross,0,0,0,0,0,0,1,3936_450x400.jpg
2794,Ollie,available,Cornwall,1 year 4 months,Male,Sprollie,1,0,0,0,0,0,1,3685_450x400.jpg
2793,Sasha,available,Berkshire,4 years 8 months,Female,Jack Russell Terrier,1,0,1,0,0,0,1,4781_450x400.jpg
2785,Felicity,available,Hertfordshire,1 year 0 months,Female,Lurcher Cross,0,0,1,0,0,0,0,4774_450x400.jpg
2783,Louis,available,Hertfordshire,6 years 0 months,Male,French Bulldog,1,0,1,0,0,0,0,4757_450x400.jpg
2782,Gus,available,Hertfordshire,2 years 0 months,Male,Bulldog Cross,0,0,1,0,0,0,0,4770_450x400.jpg
2777,Taz,available,Bedfordshire,6 years 0 months,Male,Chihuahua Cross,0,0,0,0,0,0,1,4800_450x400.jpg
2760,Hugo,available,Cornwall,1 year 10 months,Male,German Shepherd Cross,1,0,0,0,0,0,1,2384_450x400.jpg
2754,Flash,available,Berkshire,1 year 8 months,Male,Lurcher,1,0,1,0,0,0,1,4701_450x400.jpg
2745,Phoenix,available,Hertfordshire,5 years 5 months,Male,Akita Cross,0,1,1,0,0,0,0,4531_450x400.jpg
2743,Bella,available,Berkshire,2 years 5 months,Female,Crossbreed,1,0,1,0,0,0,1,4682_450x400.jpg
2701,Duchess (& Ernie),available,Hertfordshire,5 years 7 months,Female,Greyhound,0,0,1,0,0,0,1,1687_450x400.jpg
2700,Ernie (& Duchess),available,Hertfordshire,3 years 10 months,Male,Greyhound,0,0,1,0,0,0,1,1150_450x400.jpg
2687,Frieda,available,Hertfordshire,2 years 3 months,Female,Greyhound,1,0,1,0,0,0,0,4572_450x400.jpg
2684,Alfie,available,Hertfordshire,0 years 9 months,Male,Collie cross,0,0,0,0,0,0,0,3382_450x400.jpg
2674,Magpie,available,Bedfordshire,4 years 7 months,Female,Greyhound,1,0,0,0,0,0,1,4593_450x400.jpg
2669,Oscar,available,Berkshire,6 years 4 months,Male,Rottweiler,0,0,0,0,0,0,1,4599_450x400.jpg
2641,Rocket (with Honey),available,Clacton,11 years 6 months,Male,Chihuahua,0,0,0,0,0,0,1,4492_450x400.jpg
2640,Honey (with Rocket),available,Clacton,9 years 11 months,Female,Staffordshire Bull Terrier,0,0,0,0,0,0,1,4490_450x400.jpg
2595,Jet,available,Clacton,4 years 9 months,Male,Greyhound,1,0,1,0,0,0,0,2526_450x400.jpg
2543,April,available,Cornwall,2 years 3 months,Female,X Breed,0,0,0,0,0,0,1,4228_450x400.jpg
2502,Charlie,available,Clacton,1 year 9 months,Male,Lurcher,1,0,0,0,0,0,1,3198_450x400.jpg
2500,Harley,available,Bedfordshire,1 year 8 months,Male,Rottweiler Cross,1,0,0,0,0,0,0,2375_450x400.jpg
2492,Skye,available,Hertfordshire,2 years 1 month,Female,Mastiff Cross,0,0,1,0,0,0,0,4187_450x400.jpg
2436,Bailey,available,Hertfordshire,1 year 9 months,Male,German Shepherd,1,0,1,0,0,0,0,3626_450x400.jpg
2433,Caesar,available,Bedfordshire,1 year 6 months,Male,Mastiff Cross,1,0,0,0,0,0,1,3489_450x400.jpg
2415,Paddy,available,Cornwall,12 years 1 month,Male,Cockapoo,0,0,0,0,0,0,1,1164_450x400.jpg
2799,Nessie,reserved,Clacton,7 years 1 month,Female,Shih Tzu,1,0,1,0,0,0,1,4592_450x400.jpg
2790,Dexter,reserved,Hertfordshire,1 year 0 months,Male,Cocker Spaniel,1,1,1,0,0,0,0,4775_450x400.jpg
2778,Oliver,reserved,Hertfordshire,2 years 0 months,Male,Cocker Spaniel,1,1,1,0,0,0,0,4776_450x400.jpg
2772,Honey,reserved,Berkshire,5 years 6 months,Female,Cocker Spaniel,1,1,1,0,0,0,1,4624_450x400.jpg
2771,Prada,reserved,Hertfordshire,0 years 6 months,Female,Husky Cross,1,1,1,0,0,0,1,4792_450x400.jpg
2739,Wilson,reserved,Cornwall,0 years 10 months,Male,Miniature Dachshund,1,1,1,0,0,0,1,4684_450x400.jpg
2715,Scooby,reserved,Cornwall,6 years 4 months,Male,Golden Retriever,1,1,1,0,0,0,1,4688_450x400.jpg
2689,Kalli,reserved,Hertfordshire,2 years 1 month,Female,Akita,1,1,1,0,0,0,1,4630_450x400.jpg
2686,Sarah,reserved,Hertfordshire,4 years 2 months,Female,Greyhound,1,0,1,0,0,0,0,4571_450x400.jpg
2677,Nancy,reserved,Bedfordshire,6 years 8 months,Female,French Bulldog,1,0,1,0,0,0,1,4538_450x400.jpg
2629,Lizzie,reserved,Hertfordshire,2 years 2 months,Female,Lurcher,1,0,1,0,0,0,0,4500_450x400.jpg
2612,Petal,reserved,Hertfordshire,0 years 9 months,Female,Lurcher,1,0,1,0,0,0,0,4452_450x400.jpg
2611,Petunia,reserved,Hertfordshire,0 years 9 months,Female,Lurcher,1,0,1,0,0,0,0,4451_450x400.jpg
2579,Lupin,reserved,Hertfordshire,2 years 2 months,Male,Malinois Cross,1,0,1,0,0,0,0,4246_450x400.jpg
2467,Starla,reserved,Cornwall,4 years 2 months,Female,Husky Cross,0,0,0,0,0,0,1,4097_450x400.jpg
Molly mac,available,Bridgend (Wales),2 - 5 years,Female,American Bulldog,0,0,0,0,0,0,0,Molly mac.jpeg
